Plat_unique,vegetarien,commentaire,_debug_note
jambon braisé sauce barbecue,False,sûr,matched_nonveg:jambon
pois chiches*,True,sûr,matched_veg:pois chiches
galette au citron*,True,sûr,matched_veg:galette
"salade de pâtes, tomate cerise, bâtonnet de concombre sauce fromage blanc, viande froide",False,sûr,matched_nonveg:viande
boulgour de légumes,True,sûr,matched_veg:légumes
sauté de bœuf à la provençale,False,sûr,matched_nonveg:bœuf
filet de lieu noir beurre ciboulette,False,sûr,matched_nonveg:filet
émincé de dinde à la crème,False,sûr,matched_nonveg:dinde
timbale végé*,True,sûr,matched_veg:végé
timbale au thon,False,sûr,matched_fish:thon
émincé de poule au pot sauce crème,False,incertain,fallback
nugget's végé*,True,sûr,matched_veg:végé
rôti de dinde à la moutarde,False,sûr,matched_nonveg:rôti
palet fromager*,False,incertain,short_unknown
lieu noir sauce curry,False,incertain,ambiguous_indicator:curry
ravioles à la tomate gratinées,True,incertain_but_checked,fallback
lieu noir sauce poivron,False,incertain,fallback
dahl de lentilles corail,True,sûr,matched_veg:lentilles
galette tomate mozza*,True,sûr,matched_veg:mozza
boulette de patate douce,True,incertain_but_checked,preserved
lieu noir,False,incertain,short_unknown
rôti de dinde à la crème,False,sûr,matched_nonveg:rôti
saumon à l'estragon,False,sûr,matched_fish:saumon
escalope milanaise sauce tomate,False,sûr,matched_nonveg:escalope
tartiflette végé*,True,sûr,matched_veg:végé
eiglefin beurre persillé,False,incertain,fallback
boulette de pois chiches*,True,sûr,matched_veg:pois chiches
jambon braisé à la moutarde,False,sûr,matched_nonveg:jambon
palet tomate mozza*,True,sûr,matched_veg:mozza
dos de lieu sauce hollandaise,False,incertain,fallback
lasagne végé*,True,sûr,matched_veg:végé
boulettes de lentille*,True,sûr,matched_veg:lentille
lieu noir beurre citron,False,incertain,fallback
carbonade flamande,False,incertain,short_unknown
nugget's croc fromage*,True,sûr,matched_veg:fromage
galette soja citron*,True,sûr,matched_veg:galette
filet de lieu noir sauce à l'oseille,False,sûr,matched_nonveg:filet
aiguillette de carottes*,False,incertain,fallback
pâtes au potiron et mozzarella,True,sûr,matched_veg:mozzarella
escalope de dinde à la crème,False,sûr,matched_nonveg:escalope
sauté de bœuf marengo,False,sûr,matched_nonveg:bœuf
lieu noir sauce dieppoise,False,incertain,fallback
"parmentier purée de potiron, protéine de pois",False,incertain,fallback
bolognaise végé,True,sûr,matched_nonveg:bolognaise
poisson beurre blanc,False,sûr,matched_fish:poisson
repas de noël,False,incertain,fallback
lieu noir sauce paprika,False,incertain,fallback
gnocchi à la romaine sauce tomate,True,incertain_but_checked,preserved
pané fromager*,False,incertain,short_unknown
émincé de dinde tandorii,False,sûr,matched_nonveg:dinde
églefin sauce beurre blanc,False,incertain,fallback
galettes de millet,True,incertain_but_checked,preserved
végé*,True,sûr,matched_veg:végé
lieu noir sauce armoricaine,False,incertain,fallback
"escalope de dinde, sauce forestière",False,sûr,matched_nonveg:escalope
parmentier au potiron,False,incertain,fallback
filet de lieu noir à la crème,False,sûr,matched_nonveg:filet
tortillas *,False,incertain,short_unknown
nems végé,True,sûr,matched_veg:végé
cassoulet végé*,True,sûr,matched_veg:végé
sauté de veau sauce aux marrons,False,sûr,matched_nonveg:veau
curry de légumes,True,sûr,matched_veg:légumes
pané fromagé*,False,incertain,short_unknown
émincé de poulet,False,sûr,matched_nonveg:poulet
églefin,False,incertain,short_unknown
gratin de pâte mozza potiron,True,sûr,matched_veg:mozza
saumon au beurre blanc,False,sûr,matched_fish:saumon
lieu sauce armoricaine,False,incertain,fallback
sauté de bœuf,False,sûr,matched_nonveg:bœuf
galette de quinoa à la provençale*,True,sûr,matched_veg:galette
lieu noir sauce hollandaise,False,incertain,fallback
pâtes potiron mozza,True,sûr,matched_veg:mozza
sauté de veau sauce tajine,False,sûr,matched_nonveg:veau
lieu noir beurre persillé,False,incertain,fallback
sauté de porc sauce tomate,False,sûr,matched_nonveg:porc
paëlla végé,True,sûr,matched_veg:végé
dos de lieu à la crème,False,incertain,fallback
sauté de bœuf bourguignon,False,sûr,matched_nonveg:bœuf
rougail saucisse de porc,False,sûr,matched_nonveg:porc
escalope de porc sauce charcutier,False,sûr,matched_nonveg:porc
nugge't végé*,True,sûr,matched_veg:végé
lieu noir sauce grenobloise,False,incertain,fallback
croq' fromage*,True,sûr,matched_veg:fromage
lieu sauce oseille,False,incertain,fallback
sauté de poulet sauce chasseur,False,sûr,matched_nonveg:poulet
galette de haricots rouges*,True,sûr,matched_veg:galette
cassoulet de porc,False,sûr,matched_nonveg:porc
dos de lieu au curry,False,incertain,ambiguous_indicator:curry
mélange méxicain*,False,incertain,short_unknown
escalope de dinde colombo,False,sûr,matched_nonveg:escalope
croq'fromage*,True,sûr,matched_veg:fromage
pané de blé tomate mozza*,True,sûr,matched_veg:mozza
timbale de thon,False,sûr,matched_fish:thon
rôti de veau sauce provençale,False,sûr,matched_nonveg:veau
croustillant fromager,False,incertain,short_unknown
galette millet*,True,sûr,matched_veg:galette
eglefin sauce armoricaine,False,incertain,fallback
dos de lieu beurre persillé,False,incertain,fallback
"sauté de dinde, sauce barbecue",False,sûr,matched_nonveg:dinde
sauté de boeuf,False,sûr,matched_nonveg:boeuf
chili volaille,False,sûr,matched_nonveg:volaille
veggie mexicain*,True,sûr,matched_veg:veggie
pont,False,incertain,short_unknown
blanquette de poulet,False,sûr,matched_nonveg:poulet
galette de tomate mozza*,True,sûr,matched_veg:mozza
saumon beurre ciboulette,False,sûr,matched_fish:saumon
œufs durs au curry,False,incertain,ambiguous_indicator:curry
galette de lentilles vertes*,True,sûr,matched_veg:lentilles
boulette de lentilles vertes*,True,sûr,matched_veg:lentilles
nuget's végé*,True,sûr,matched_veg:végé
sauté de veau sauce lyonnaise,False,sûr,matched_nonveg:veau
lieu noir  beurre sauce oseille,False,incertain,fallback
"carottes batonnet, houmous, salade de lentilles, concombre féta, riz niçois",True,sûr,matched_veg:lentilles
galette fromage tomate,True,sûr,matched_veg:fromage
sauté de boeuf marocain,False,sûr,matched_nonveg:boeuf
galette de haricots blanc*,True,sûr,matched_veg:galette
"œufs durs sauce cocktail, taboulé",False,incertain,fallback
falafels sauce boulgour,True,incertain_but_checked,fallback
saumon sauce dieppoise,False,sûr,matched_fish:saumon
paëlla végé*,True,sûr,matched_veg:végé
lieu noir mayonnaise,False,incertain,fallback
riz au thon,False,sûr,matched_fish:thon
tortillas,True,incertain_but_checked,preserved
lieu,False,incertain,short_unknown
"club sandwich' (pain de mie complet, œuf dur, houmous de pois chiches, tomates, emmental, salade verte)",True,sûr,matched_veg:pois chiches
"saumon, sauce à l'oseille",False,sûr,matched_fish:saumon
lieu noir à la crème,False,incertain,fallback
"œuf dur, sauce cocktail",True,sûr,matched_veg:œuf
croq' fromage sauce tomate,True,sûr,matched_veg:fromage
haricots blancs provençale,True,incertain_but_checked,fallback
mix indien*,False,incertain,short_unknown
"omelette, sauce tomate",True,sûr,matched_veg:omelette
sauté de bœuf agenais,False,sûr,matched_nonveg:bœuf
"lieu noir, sauce diéppoise",False,incertain,fallback
pané tomate mozza*,True,sûr,matched_veg:mozza
sauté de poulet forestier,False,sûr,matched_nonveg:poulet
égréné de légumes provençale,True,sûr,matched_veg:légumes
escalope de porc au curry,False,sûr,matched_nonveg:porc
saumon beurre citron,False,sûr,matched_fish:saumon
pané de tomate*,False,incertain,fallback
galette fromage champignons béchamel,True,sûr,matched_veg:fromage
eglefin,False,incertain,short_unknown
saumon sauce oseille,False,sûr,matched_fish:saumon
tarte fromage,True,sûr,matched_veg:fromage
sauté de poulet à la crème,False,sûr,matched_nonveg:poulet
lieu noir au parprika,False,incertain,fallback
boulette de haricots rouges*,False,incertain,fallback
tortillas sauce boulgour,True,incertain_but_checked,preserved
sauté de poulet sauce tajine,False,sûr,matched_nonveg:poulet
tortis mozza patate douce,True,sûr,matched_veg:mozza
pané fromage*,True,sûr,matched_veg:fromage
saumon beurre persillé,False,sûr,matched_fish:saumon
tarte au fromage,True,sûr,matched_veg:fromage
lieu sauce estragon,False,incertain,fallback
omelette aux champignons,True,sûr,matched_veg:omelette
lieu beurre persillé,False,incertain,fallback
émincé de volaille sauce forestière,False,sûr,matched_nonveg:volaille
pané tomates mozza*,True,sûr,matched_veg:mozza
tortillas pomme de terre,True,incertain_but_checked,preserved
sauté de bœuf sauce goulash,False,sûr,matched_nonveg:bœuf
égréné de pois provençale,True,incertain_but_checked,fallback
arancini,False,incertain,short_unknown
boulette de soja tomate*,False,incertain,fallback
samoussa,False,incertain,short_unknown
croc' fromage*,True,sûr,matched_veg:fromage
lieu noir sauce oseille,False,incertain,fallback
sauté de poulet sauce crème coco,False,sûr,matched_nonveg:poulet
lieu noir beurre estragon,False,incertain,fallback
eglefin beurre blanc,False,incertain,fallback
galette fromage champignons,True,sûr,matched_veg:fromage
blanquette de veau à la crème,False,sûr,matched_nonveg:veau
boulette soja tomate*,True,sûr,matched_veg:boulette soja
saumon sauce hollandaise,False,sûr,matched_fish:saumon
couscous végé*,True,sûr,matched_veg:végé
parmentier purée verte,False,incertain,fallback
saucisse végé*,False,sûr,matched_nonveg:saucisse
lieu noir au curry,False,incertain,ambiguous_indicator:curry
boulette de tomate*,False,incertain,fallback
"burger végé (galette végé, guacamole, fromage, salade verte)",True,sûr,matched_veg:végé
boulette de pois chiche au cumin*,True,sûr,matched_veg:pois chiche
eglefin beurre à l'oseille,False,incertain,fallback
lasagne végé,True,sûr,matched_veg:végé
pané tomate mozza,True,sûr,matched_veg:mozza
boulette de tomate soja*,False,incertain,fallback
lieu noir beurre blanc,False,incertain,fallback
"fajitas (égréné végétal de pois, poivron crème, fromage)",True,sûr,matched_veg:végétal
mélange de légumineuses*,False,incertain,fallback
saucisse végé,True,sûr,matched_nonveg:saucisse
galette de haricots blancs*,True,sûr,matched_veg:galette
œuf dur sauce cocktail et taboulé,True,sûr,matched_veg:œuf
"salade de lentilles féta, tartinade de tomate, riz niçois",True,sûr,matched_veg:lentilles
sauté de porc paprika,False,sûr,matched_nonveg:porc
galette de haricots rouges *,True,sûr,matched_veg:galette
omelette sauce tomate,True,sûr,matched_veg:omelette
lieu beurre ciboulette,False,incertain,fallback
salade de pâtes tomates et billes de mozza,True,sûr,matched_veg:mozza
pavé tomate mozza*,True,sûr,matched_veg:mozza
lieu beurre aux fines herbes,False,incertain,fallback
repas de fin d'année,False,incertain,fallback
"salade fromagère, riz au thon, tomate cerise",False,sûr,matched_fish:thon
égréné protéine de pois sauce provençale,True,incertain_but_checked,fallback
boulette de soja tomate,True,incertain_but_checked,preserved
saumon froid,False,sûr,matched_fish:saumon
lieu noir froid mayonnaise,False,incertain,fallback
boulette de soja champignons*,True,sûr,matched_veg:champignons
"salade bar' (salade de lentilles,féta, houmous, concombre, riz au thon)",False,sûr,matched_fish:thon
croq'fromage,True,sûr,matched_veg:fromage
galette de haricots rouge*,True,sûr,matched_veg:galette
lieu noir sauce estragon,False,incertain,fallback
poisson sauce provençale,False,sûr,matched_fish:poisson
œuf dur et taboulé,True,sûr,matched_veg:œuf
sauté de boeuf bourguignon,False,sûr,matched_nonveg:boeuf
boulettes de pois chiches*,True,sûr,matched_veg:pois chiches
lieu beurre citron,False,incertain,fallback
mélange légumineuses*,False,incertain,short_unknown
œufs durs sauce curry,False,incertain,ambiguous_indicator:curry
lieu noir sauce crème,False,incertain,fallback
œuf poché,True,sûr,matched_veg:œuf
gratin de pâtes brocolis,True,incertain_but_checked,ambiguous_indicator:pâtes
eglefin sauce suchet,False,incertain,fallback
croq' fromage,True,sûr,matched_veg:fromage
œufs mollets,False,incertain,short_unknown
dos de lieu noir sauce hollandaise,False,incertain,fallback
"galette végé, (œufs brouillés, tomates séchées, fromage)",True,sûr,matched_veg:végé
lieu noir sauce tomate,False,incertain,fallback
saumon beurre estragon,False,sûr,matched_fish:saumon
parmentier,False,incertain,short_unknown
lieu noir suchet,False,incertain,fallback
bourguignon,False,incertain,short_unknown
lieu noir à l'armoricaine,False,incertain,fallback
menu de noël,False,incertain,fallback
eglefin beurre citron,False,incertain,fallback
saumon beurre blanc,False,sûr,matched_fish:saumon
lasagnes végé*,True,sûr,matched_veg:végé
arancini au fromage,True,sûr,matched_veg:fromage
lieu sauce paprika,False,incertain,fallback
dalh de lentilles corail,True,sûr,matched_veg:lentilles
boulette de lentilles verte*,True,sûr,matched_veg:lentilles
samoussa végé,True,sûr,matched_veg:végé
pané de tomate mozza*,True,sûr,matched_veg:mozza
mélange végé*,True,sûr,matched_veg:végé
lieu noir beurre oseille,False,incertain,fallback
"tacos (émincé végétal, légumes, sauce crème champignons)",True,sûr,matched_veg:végétal
œufs mollet,False,incertain,short_unknown
galette de haricot rouge*,True,sûr,matched_veg:galette
galette de lentilles corail *,True,sûr,matched_veg:lentilles
"fajitas (poivron, crème, émincé végétal)",True,sûr,matched_veg:végétal
"bolognaise végétal, lentilles",True,sûr,matched_nonveg:bolognaise
"saumon, sauce estragon",False,sûr,matched_fish:saumon
gratin de brocolis,True,incertain_but_checked,preserved
mélange légumineuse*,False,incertain,short_unknown
égréné provençale,True,incertain_but_checked,short_unknown
œufs durs,False,incertain,short_unknown
pané mozza tomate*,True,sûr,matched_veg:mozza
arrancini fromage,True,sûr,matched_veg:fromage
escaloppe de dinde,False,sûr,matched_nonveg:dinde
galette quinoa provençale*,True,sûr,matched_veg:galette
carbonara de volaille,False,sûr,matched_nonveg:volaille
carbonara végé*,True,sûr,matched_veg:végé
boulgour aux petits légumes,True,sûr,matched_veg:légumes
croustillant fromager *,False,incertain,fallback
boulette de haricot blanc*,False,incertain,fallback
"dos de lieu, sauce hollandaise",False,incertain,fallback
poisson beurre ciboulette,False,sûr,matched_fish:poisson
sauté de porc provençale,False,sûr,matched_nonveg:porc
"aiguillette égréné haric&co, poivron, sauce crème",False,incertain,fallback
œuf dur au curry,True,sûr,matched_veg:œuf
omelette sauce boulgour,True,sûr,matched_veg:omelette
parmentier de pomme de terre,False,incertain,fallback
paëlle végé,True,sûr,matched_veg:végé
escalope de volaille,False,sûr,matched_nonveg:escalope
pané tomate mozza *,True,sûr,matched_veg:mozza
égréné protéine de pois,True,incertain_but_checked,preserved
"gnocchis à la romaine, sauce tomate",True,incertain_but_checked,preserved
boulette de soja champignon*,True,sûr,matched_veg:champignon
"salade de pâtes, tomates, billes de mozza",True,sûr,matched_veg:mozza
mélange de légumineuse*,False,incertain,fallback
"piémontaise, tomate cerise",False,incertain,fallback
"œuf dur froid, sauce cocktail et taboulé",True,sûr,matched_veg:œuf
timbale de porc,False,sûr,matched_nonveg:porc
"club sandwich (houmous, fromage œuf dur, salade verte)",True,sûr,matched_veg:fromage
"boulgour de légumes, sauce boulgour",True,sûr,matched_veg:légumes
croq fromage*,True,sûr,matched_veg:fromage
"lieu noir, sauce méditerranéenne",False,incertain,fallback
falafels sauce yaourt,True,incertain_but_checked,fallback
"sauté de bœuf, sauce provençale",False,sûr,matched_nonveg:bœuf
"salade de pâtes, tomates",True,sûr,matched_veg:salade
arrancini,False,incertain,short_unknown
eglefin beurre fines herbes,False,incertain,fallback
"club sandwich (pain de mie, houmous, tomate, œuf dur, emmental, salade verte)",True,sûr,matched_veg:œuf
"lieu noir, sauce hollandaise",False,incertain,fallback
œuf dur sauce cocktail,True,sûr,matched_veg:œuf
sauté de bœuf paprika,False,sûr,matched_nonveg:bœuf
nugget's de blé*,False,incertain,fallback
"salad bar' (salade de lentille, féta, houmous, concombre, riz au thon)",False,sûr,matched_fish:thon
timballe au thon,False,sûr,matched_fish:thon
bolognaise tortis,False,sûr,matched_nonveg:bolognaise
boulettes de lentilles corail,True,sûr,matched_veg:lentilles
lieu à la crème,False,incertain,fallback
galettes de haricots rouges,True,incertain_but_checked,preserved
saucisse porc,False,sûr,matched_nonveg:porc
pané de tomate mozzarella*,True,sûr,matched_veg:mozzarella
tortillas sauce tomate,True,incertain_but_checked,fallback
"pâte méxicaine (maïs, haricots rouges)",True,incertain_but_checked,preserved
saucisse végétarienne,True,sûr,matched_nonveg:saucisse
blanquette de veau label,False,sûr,matched_nonveg:veau
galette,True,sûr,matched_veg:galette
cassoulet porc,False,sûr,matched_nonveg:porc
végétarien,True,sûr,matched_veg:végétarien
croq fromage,True,sûr,matched_veg:fromage
rôti de veau label au jus,False,sûr,matched_nonveg:veau
pâte carbonara,False,incertain,short_unknown
dinde,False,sûr,matched_nonveg:dinde
légumes,True,sûr,matched_veg:légumes
galette de quinoa provençale*,True,sûr,matched_veg:galette
lieu sauce hollandaise,False,incertain,fallback
escalope de porc au jus,False,sûr,matched_nonveg:porc
pané de tomate mozza,True,sûr,matched_veg:mozza
mélange de légumes secs,True,sûr,matched_veg:légumes
tortis,False,incertain,short_unknown
lieu à la tomate,False,incertain,fallback
boulettes de pois chiches,True,sûr,matched_veg:pois chiches
œuf dur sauce curry,True,sûr,matched_veg:œuf
sauté de bœuf sauce chataigne,False,sûr,matched_nonveg:bœuf
galette de quinoa provençale,True,incertain_but_checked,preserved
poulet au jus,False,sûr,matched_nonveg:poulet
mélange légumes secs,True,sûr,matched_veg:légumes
sauté de bœuf sauce chataîgne,False,sûr,matched_nonveg:bœuf
boulette de pois chiches,True,sûr,matched_veg:pois chiches
"bolognaise (carottes, lentilles)",False,sûr,matched_nonveg:bolognaise
tortis carbonara porc,False,sûr,matched_nonveg:porc
végé,True,sûr,matched_veg:végé
tartiflette poc,False,incertain,ambiguous_indicator:tartiflette
galette de lentilles vertes,True,sûr,matched_veg:lentilles
dos de lieu beurre blanc,False,incertain,fallback
saumon sauce paprika,False,sûr,matched_fish:saumon
